,country,iso,region,score,rank,change,year,standard_deviation,range
2079,Slovakia,SVK,WE/EU,4,66,-4,2011,0.36,
2080,Slovenia,SVN,WE/EU,5.9,35,-8,2011,0.39,
2081,Solomon Islands,SLB,AP,2.7,120,3,2011,0.28,
2082,Somalia,SOM,SSA,1,182,-4,2011,0.23,
2083,South Africa,ZAF,SSA,4.1,64,-8,2011,0.21,
2084,Spain,ESP,WE/EU,6.2,31,-1,2011,0.28,
2085,Sri Lanka,LKA,AP,3.3,86,15,2011,0.23,
2086,Sudan,SDN,SSA,1.6,177,-5,2011,0.08,
2087,Suriname,SUR,AME,3,100,-99,2011,0.37,
2088,Swaziland,SWZ,AP,3.1,95,10,2011,0.08,
2089,Sweden,SWE,WE/EU,9.3,4,0,2011,0.08,
2090,Switzerland,CHE,WE/EU,8.8,8,0,2011,0.22,
2091,Syria,SYR,MENA,2.6,129,5,2011,0.16,
2092,Taiwan,TWN,AP,6.1,32,4,2011,0.31,
2093,Tajikistan,TJK,ECA,2.3,152,2,2011,0.28,
2094,Tanzania,TZA,SSA,3,100,27,2011,0.18,
2095,Thailand,THA,AP,3.4,80,7,2011,0.15,
2096,Timor-Leste,TLS,AP,2.4,143,-9,2011,0.26,
2097,Togo,TGO,SSA,2.4,143,3,2011,0.08,
2098,Tonga,TON,AP,3.1,95,15,2011,0.17,
2099,Trinidad and Tobago,TTO,AME,3.2,91,-13,2011,0.32,
2100,Tunisia,TUN,MENA,3.8,73,-7,2011,0.67,
2101,Turkey,TUR,ECA,4.2,61,-2,2011,0.22,
2102,Turkmenistan,TKM,ECA,1.6,177,-5,2011,0.12,
2103,Uganda,UGA,SSA,2.4,143,-9,2011,0.13,
2104,Ukraine,UKR,ECA,2.3,152,-6,2011,0.1,
2105,United Arab Emirates,ARE,MENA,6.8,28,0,2011,0.46,
2106,United Kingdom,GBR,WE/EU,7.8,16,4,2011,0.15,
2107,United States,USA,AME,7.1,24,-2,2011,0.4,
2108,Uruguay,URY,AME,7,25,-1,2011,0.28,
2109,Uzbekistan,UZB,ECA,1.6,177,-5,2011,0.11,
2110,Vanuatu,VUT,AP,3.5,77,1,2011,0.92,
2111,Venezuela,VEN,AME,1.9,172,3,2011,0.1,
2112,Vietnam,VNM,AP,2.9,112,15,2011,0.17,
2113,Yemen,YEM,MENA,2.1,164,-10,2011,0.12,
2114,Zambia,ZMB,SSA,3.2,91,19,2011,0.31,
2115,Zimbabwe,ZWE,SSA,2.2,154,-8,2011,0.37,
